"(1, 2, 60, 3)",Slot Id,Ntcoil,Rad Layer Id,Tan Layer Id
,18,0.0,0,1,
,19,-5.0,0,0,
,19,-5.0,0,1,
,20,0.0,0,0,
,20,0.0,0,1,
,21,0.0,0,0,
,21,0.0,0,1,
,22,5.0,0,0,
,22,5.0,0,1,
,23,0.0,0,0,
,23,0.0,0,1,
,24,0.0,0,0,
,24,0.0,0,1,
,25,-5.0,0,0,
,25,-5.0,0,1,
,26,0.0,0,0,
,26,0.0,0,1,
,27,0.0,0,0,
,27,0.0,0,1,
,28,5.0,0,0,
,28,5.0,0,1,
,29,0.0,0,0,
,29,0.0,0,1,
,30,0.0,0,0,
,30,0.0,0,1,
,31,-5.0,0,0,
,31,-5.0,0,1,
,32,0.0,0,0,
,32,0.0,0,1,
,33,0.0,0,0,
,33,0.0,0,1,
,34,5.0,0,0,
,34,5.0,0,1,
,35,0.0,0,0,
,35,0.0,0,1,
,36,0.0,0,0,
,36,0.0,0,1,
,37,-5.0,0,0,
,37,-5.0,0,1,
,38,0.0,0,0,
,38,0.0,0,1,
,39,0.0,0,0,
,39,0.0,0,1,
,40,5.0,0,0,
,40,5.0,0,1,
,41,0.0,0,0,
,41,0.0,0,1,
,42,0.0,0,0,
,42,0.0,0,1,
,43,-5.0,0,0,
,43,-5.0,0,1,
,44,0.0,0,0,
,44,0.0,0,1,
,45,0.0,0,0,
,45,0.0,0,1,
,46,5.0,0,0,
,46,5.0,0,1,
,47,0.0,0,0,
,47,0.0,0,1,
,48,0.0,0,0,
,48,0.0,0,1,
,49,-5.0,0,0,
,49,-5.0,0,1,
,50,0.0,0,0,
,50,0.0,0,1,
,51,0.0,0,0,
,51,0.0,0,1,
,52,5.0,0,0,
,52,5.0,0,1,
,53,0.0,0,0,
,53,0.0,0,1,
,54,0.0,0,0,
,54,0.0,0,1,
,55,-5.0,0,0,
,55,-5.0,0,1,
,56,0.0,0,0,
,56,0.0,0,1,
,57,0.0,0,0,
,57,0.0,0,1,
,58,5.0,0,0,
,58,5.0,0,1,
,59,0.0,0,0,
,59,0.0,0,1,

